timestamp,subzone,total_stay
2018-02-25T09:45:00.000+08:00,SBSZ08,9428
2018-02-25T09:45:00.000+08:00,SBSZ09,8047
2018-02-25T09:45:00.000+08:00,WDSZ08,11174
2018-02-25T09:45:00.000+08:00,SISZ01,16505
2018-02-25T09:45:00.000+08:00,SGSZ06,14359
2018-02-25T09:45:00.000+08:00,SGSZ04,13231
2018-02-25T09:45:00.000+08:00,SGSZ03,7638
2018-02-25T09:45:00.000+08:00,SGSZ02,3330
2018-02-25T09:45:00.000+08:00,AMSZ05,7117
2018-02-25T09:45:00.000+08:00,BLSZ04,853
2018-02-25T09:45:00.000+08:00,BDSZ07,3541
2018-02-25T09:45:00.000+08:00,TMSZ04,17280
2018-02-25T09:45:00.000+08:00,SMSZ01,2041
2018-02-25T09:45:00.000+08:00,BMSZ05,4949
2018-02-25T09:45:00.000+08:00,QTSZ09,3938
2018-02-25T09:45:00.000+08:00,ORSZ03,9825
2018-02-25T09:45:00.000+08:00,SISZ02,1998
2018-02-25T09:45:00.000+08:00,YSSZ06,1473
2018-02-25T09:45:00.000+08:00,SVSZ01,3910
2018-02-25T09:45:00.000+08:00,RCSZ03,3436
2018-02-25T09:45:00.000+08:00,CLSZ02,2736
2018-02-25T09:45:00.000+08:00,BTSZ02,4884
2018-02-25T09:45:00.000+08:00,AMSZ08,4571
2018-02-25T09:45:00.000+08:00,HGSZ08,11252
2018-02-25T09:45:00.000+08:00,JWSZ04,13222
2018-02-25T09:45:00.000+08:00,TMSZ02,33583
2018-02-25T09:45:00.000+08:00,TMSZ01,2454
2018-02-25T09:45:00.000+08:00,TMSZ03,22301
2018-02-25T09:45:00.000+08:00,ORSZ01,3691
2018-02-25T09:45:00.000+08:00,QTSZ04,7090
2018-02-25T09:45:00.000+08:00,DTSZ09,2579
2018-02-25T09:45:00.000+08:00,KLSZ05,10453
2018-02-25T09:45:00.000+08:00,JESZ08,5453
2018-02-25T09:45:00.000+08:00,CKSZ01,7439
2018-02-25T09:45:00.000+08:00,BMSZ13,4853
2018-02-25T09:45:00.000+08:00,BMSZ15,3733
2018-02-25T09:45:00.000+08:00,BMSZ14,3580
2018-02-25T09:45:00.000+08:00,THSZ01,1337
2018-02-25T09:45:00.000+08:00,TSSZ01,987
2018-02-25T09:45:00.000+08:00,SBSZ07,2552
2018-02-25T09:45:00.000+08:00,BMSZ10,7052
2018-02-25T09:45:00.000+08:00,BMSZ04,6156
2018-02-25T09:45:00.000+08:00,TPSZ02,14278
2018-02-25T09:45:00.000+08:00,TPSZ01,7433
2018-02-25T09:45:00.000+08:00,JESZ03,5674
2018-02-25T09:45:00.000+08:00,CLSZ01,4536
2018-02-25T09:45:00.000+08:00,AMSZ04,8028
2018-02-25T09:45:00.000+08:00,HGSZ05,12872
2018-02-25T09:45:00.000+08:00,TSSZ04,5582
2018-02-25T09:45:00.000+08:00,TSSZ03,5951
2018-02-25T09:45:00.000+08:00,TSSZ02,17252
2018-02-25T09:45:00.000+08:00,TSSZ05,10183
2018-02-25T09:45:00.000+08:00,TSSZ06,16326
2018-02-25T09:45:00.000+08:00,BLSZ01,2504
2018-02-25T09:45:00.000+08:00,SKSZ02,2599
2018-02-25T09:45:00.000+08:00,TNSZ04,6975
2018-02-25T09:45:00.000+08:00,BTSZ04,3876
2018-02-25T09:45:00.000+08:00,SGSZ07,6971
2018-02-25T09:45:00.000+08:00,BSSZ01,15212
2018-02-25T09:45:00.000+08:00,RCSZ10,5706
2018-02-25T09:45:00.000+08:00,PGSZ05,10209
2018-02-25T09:45:00.000+08:00,JWSZ01,4460
